,name,year,genre,country,duration,age_limit,budget,director,rating
309,Обливион (2013),2013,мелодрама,США,125,12 +,120000000,Джозеф Косински,7.0
310,План побега (2013),2013,триллер,США,116,16 +,70000000,Микаэль Хофстрем,6.7
311,Люди в черном 3 (2012),2012,комедия,США,106,12 +,225000000,Барри Зонненфельд,6.8
312,Сумерки. Сага. Рассвет. Часть 2 (2012),2012,драма,США,112,12 +,120000000,Билл Кондон,5.6
313,Время (2011),2011,триллер,США,109,16 +,40000000,Эндрю Никкол,6.7
314,Люди Икс: Первый класс (2011),2011,триллер,США,132,16 +,160000000,Мэттью Вон,7.7
315,Механик (2011),2011,триллер,США,89,18 +,40000000,Саймон Уэст,6.5
316,Прислуга (2011),2011,драма,США,146,16 +,25000000,Тейт Тейлор,8.1
317,Алиса в стране чудес (2010),2010,приключения,США,108,12 +,200000000,Тим Бертон,6.4
318,Железный человек 2 (2010),2010,боевик,США,124,16 +,200000000,Джон Фавро,6.9
319,Письма к Джульетте (2010),2010,драма,США,105,16 +,30000000,Гари Виник,6.5
320,ВАЛЛ·И (2008),2008,мультфильмы,США,98,0 +,180000000,Эндрю Стэнтон,8.4
321,Темный рыцарь (2008),2008,драма,США,152,16 +,185000000,Кристофер Нолан,9.1
322,Пока не сыграл в ящик (2007),2007,драма,США,97,16 +,45000000,Роб Райнер,7.3
323,Апокалипсис (2006),2006,драма,США,139,18 +,40000000,Мэл Гибсон,7.8
324,Дом у озера (2006),2006,драма,США,99,18 +,40000000,Алехандро Агрести,6.8
325,Отпуск по обмену (2006),2006,мелодрама,США,138,16 +,85000000,Нэнси Майерс,7.0
326,Константин: Повелитель тьмы (2005),2005,драма,США,121,16 +,100000000,Фрэнсис Лоуренс,7.0
327,Счастливое число Слевина (2005),2005,драма,США,110,18 +,null,Пол МакГиган,7.7
328,Терминал (2004),2004,драма,США,124,12 +,60000000,Стивен Спилберг,7.4
329,Матрица: Революция (2003),2003,боевик,США,129,16 +,150000000,null,6.7
330,Матрица: Перезагрузка (2003),2003,боевик,США,138,16 +,150000000,null,7.2
331,Ледниковый период (2002),2002,комедия,США,81,0 +,59000000,null,7.5
332,Приходи на меня посмотреть (2000),2000,мелодрама,Россия,101,0 +,null,null,7.2
333,Чего хотят женщины (2000),2000,мелодрама,США,127,18 +,70000000,Нэнси Майерс,6.5
334,Куда приводят мечты (1998),1998,драма,США,113,12 +,85000000,Винсент Уорд,7.0
335,Маска (1994),1994,комедия,США,101,12 +,23000000,Чак Рассел,7.0
336,Красавица и чудовище (1991),1991,мелодрама,США,84,12 +,25000000,null,8.0
337,На гребне волны (1991),1991,триллер,США,122,16 +,24000000,Кэтрин Бигелоу,7.3
338,Индиана Джонс и последний крестовый поход (1989),1989,боевик,США,127,16 +,48000000,Стивен Спилберг,8.2
339,За бортом (1987),1987,мелодрама,США,106,12 +,null,Гэрри Маршалл,6.9
340,Блеф (1976),1976,комедия,Италия,90,16 +,null,Серджио Корбуччи,7.3
341,Встретимся вчера (2024),2024,мелодрама,Россия,89,16 +,null,Александр Богуславский,6.3
343,Хоккейные папы (2023),2023,комедия,Россия,90,6 +,null,Андрей Булатов,6.0
344,Лулу и Бриггс (2022),2022,комедия,США,90,18 +,null,null,6.5
345,Великий (2020),2020,драма,США,115,18 +,null,Эндрю Левитас,7.2
346,Взаперти (2020),2020,драма,США,90,16 +,null,Аниш Чаганти,6.7
347,Оно 2 (2019),2019,ужасы,США,169,18 +,null,Андрес Мускетти,6.5
348,Оно (2017),2017,драма,США,135,18 +,35000000,Андрес Мускетти,7.3
349,Дуэлянт (2016),2016,драма,Россия,110,16 +,null,Алексей Мизгирев,6.3
350,Завтрак у папы (2016),2016,комедия,Россия,96,12 +,null,Мария Кравченко,6.0
351,Голодные игры: Сойка-пересмешница. Часть II (2015),2015,приключения,США,137,12 +,160000000,Фрэнсис Лоуренс,6.6
352,Звездные войны: Пробуждение силы (2015),2015,боевик,США,135,12 +,200000000,Джей Джей Абрамс,7.7
353,Парень с нашего кладбища (2015),2015,комедия,Россия,90,12 +,50000,null,5.9
354,Шпионский мост (2015),2015,драма,США,141,16 +,40000000,Стивен Спилберг,7.6
355,Воровка книг (2014),2014,драма,США,131,12 +,null,Брайан Персивал,7.5
356,Джон Уик (2014),2014,триллер,США,101,16 +,20000000,null,7.5
357,Дурак (2014),2014,драма,Россия,116,16 +,1300000,Юрий Быков,8.0
358,Отель «Гранд Будапешт» (2014),2014,комедия,США,100,16 +,null,Уэс Андерсон,8.1
359,Поддубный (2014),2014,драма,Россия,120,6 +,12000000,Глеб Орлов,6.4
360,Война миров Z (2013),2013,драма,США,116,12 +,190000000,Марк Форстер,7.0
361,Охотники на ведьм (2013),2013,боевик,США,87,18 +,60000000,Томми Виркола,6.1
362,Паркер (2013),2013,триллер,США,118,16 +,30000000,Тейлор Хэкфорд,6.2
363,Росомаха: Бессмертный (2013),2013,боевик,США,126,12 +,120000000,Джеймс Мэнголд,6.7
364,Семейка Крудс (2013),2013,комедия,США,98,0 +,null,null,7.1
365,Тихая гавань (2013),2013,драма,США,115,16 +,28000000,Лассе Халльстрем,6.7
366,Голодные игры (2012),2012,триллер,США,142,12 +,78000000,Гэри Росс,7.2
367,Небесный суд (2012),2012,драма,Россия,94,12 +,null,Алена Званцова,7.1
368,Живая сталь (2011),2011,драма,США,127,12 +,110000000,Шон Леви,7.1
369,Дорогой Джон (2010),2010,драма,США,108,18 +,25000000,Лассе Халльстрем,6.3
370,Из Парижа с любовью (2010),2010,триллер,США,88,16 +,52000000,Пьер Морель,6.4
371,Меня зовут Кхан (2010),2010,драма,Индия,165,16 +,12000000,Каран Джохар,7.9
372,О чем говорят мужчины (2010),2010,комедия,Россия,93,16 +,1950000,Дмитрий Дьяченко,7.5
373,Заложница (2008),2008,триллер,США,93,16 +,25000000,Пьер Морель,7.7
374,Дежавю (2006),2006,триллер,США,126,16 +,75000000,Тони Скотт,7.1
375,Ходячий замок (2004),2004,мелодрама,Япония,119,12 +,null,Хаяо Миядзаки,8.2
376,Благословите женщину (2003),2003,драма,Россия,114,12 +,null,Станислав Говорухин,6.6
377,Последний самурай (2003),2003,драма,США,154,16 +,140000000,Эдвард Цвик,7.8
378,Другие (2001),2001,триллер,США,101,16 +,17000000,Алехандро Аменабар,7.6
379,Корпорация монстров (2001),2001,комедия,США,92,0 +,115000000,null,8.1
380,Унесенные призраками (2001),2001,аниме,Япония,125,12 +,null,Хаяо Миядзаки,8.6
381,Шрэк (2001),2001,комедия,США,90,12 +,60000000,null,7.9
382,Сонная Лощина (1999),1999,триллер,США,105,16 +,100000000,Тим Бертон,7.3
383,Спасти рядового Райана (1998),1998,драма,США,169,16 +,70000000,Стивен Спилберг,8.6
384,Такси (1998),1998,комедия,Франция,86,16 +,null,Жерар Пирес,7.0
385,Вор (1997),1997,драма,Россия,96,16 +,2000000,Павел Чухрай,7.6
386,Жизнь прекрасна (1997),1997,драма,Италия,116,16 +,null,Роберто Бениньи,8.6
387,Джуманджи (1995),1995,триллер,США,104,6 +,65000000,Джо Джонстон,7.1
388,Интервью с вампиром (1994),1994,драма,США,123,16 +,60000000,Нил Джордан,7.5
389,Грязные танцы (1987),1987,драма,США,100,18 +,6000000,Эмиль Ардолино,7.1
390,Хищник (1987),1987,боевик,США,107,16 +,15000000,Джон МакТирнан,7.8
391,Чужие (1986),1986,триллер,США,137,16 +,18500000,Джеймс Кэмерон,8.4
392,Лицо со шрамом (1983),1983,драма,США,170,16 +,25000000,Брайан Де Пальма,8.3
393,Знахарь (1981),1981,драма,Польша,133,16 +,null,Ежи Гоффман,7.8
394,Индиана Джонс: В поисках утраченного ковчега (1981),1981,боевик,США,115,6 +,18000000,Стивен Спилберг,8.4
395,Как украсть миллион (1966),1966,мелодрама,США,123,0 +,6000000,Уильям Уайлер,7.5
396,"7 дней, 7 ночей (2024)",2024,комедия,Россия,98,12 +,null,Айк Кбеян,6.1
397,Лето 1941 года (2022),2022,боевик,Казахстан,112,16 +,null,Бекболат Шекеров,6.0
398,Одна (2022),2022,драма,Россия,108,12 +,null,Дмитрий Суворов,5.9
399,Однажды в пустыне (2022),2022,боевик,Россия,121,16 +,null,Андрей Кравчук,5.8
400,Лед 2 (2020),2020,драма,Россия,130,6 +,null,Жора Крыжовников,6.4
401,Серебряные коньки (2020),2020,мелодрама,Россия,136,16 +,null,Михаил Локшин,7.1
402,Тренер (2018),2018,драма,Россия,139,12 +,null,Данила Козловский,6.3
404,Книга джунглей (2016),2016,драма,США,105,12 +,175000000,Джон Фавро,7.3
405,Коробка (2016),2016,драма,Россия,99,12 +,1500000,Эдуард Бордуков,6.3
